user_id,favorate_tag,favorate_key,favorate_price
5872187,"['486', '558', '558', '459', '485', '', '552', '552', '552', '', '557', '486', '552', '486', '485', '557', '459', '486', '486', '486', '459', '459', '552', '459', '557', '459', '459', '459']","['2019夏装新款棉麻风连衣裙女 大码女装宽松印花短袖中长裙', '凤尾套装无钢圈美背女士内衣大码舒适背心聚拢文胸FMJR-2   i858', '【文胸+内裤】全蕾丝背心式文胸套装无钢圈睡眠文胸薄款MBNYC-3', '2019时尚棉麻套装女夏季文艺范复古纯色短袖T恤宽松大码阔腿裤两件套k021', '套头卫衣女宽松中长款2019春装新款潮韩版上衣大码胖mm连帽衫外套【DB】k015', '矮个子女装夏连体裤2018春装新款气质时尚雪纺裙裤显瘦阔腿裤套装', '2019夏季新款棉麻时尚套装女韩版宽松裙子中长款连衣裙亚麻两件套', '休闲运动服套装女2019夏季新款洋气女神范宽松短袖t恤长裤两件套k701', '两件套连衣裙女夏季中长款2019大码胖mm遮肚显瘦套装裙子', '2019素订原创棉麻D字刺绣短袖圆领上衣', '2019夏季新款透气平底鞋女时尚百搭飞织坡跟凉鞋套脚舒适鞋子', '2019夏季新气质圆领印花仿真丝连衣裙女宽松A字裙妈妈装【DB】bk219', '2019夏季大码女装胖mm洋气减龄遮肚格子拼接宽松两件套短裤套装女【DM】', '连衣裙纯色圆领中腰套头大摆型简约都市修身显瘦中长款', '撞色条纹雪纺衫上衣女宽松系带2019夏装前短后长洋气小衫', '坡跟凉鞋女2019夏季新款沙滩鞋罗马厚底时尚女鞋m772', '2019夏新款大码女装胖mm沙滩裙度假防晒衣连衣裙套装复古【DM】', '连衣裙2019新款夏假两件中长款印花拼接气质裙子仙女超仙森系', '雪纺拼接连衣裙夏季2019新款女装时尚气质流行显瘦中长款仙女裙子', '气质减龄蕾丝花边拼接雪纺连衣裙女2019新款流行夏天裙子收腰显瘦n322', '2019夏装新款时尚订珠花雪纺衫韩版气质淑女中长款短袖上衣【DM】', '2019净听 夏季新款舒适时尚复古绣花上衣【DM】', '时尚套装女2019夏季新款女装气质洋气减龄显瘦夏装流行裤子两件套', '大码阔太太连衣裙夏高贵气质遮肚减龄适合胯大胖女人穿的衣服【DM】', '厚底镂空网纱透气休闲鞋2019春夏新款韩版简约时尚板鞋舒适女鞋子', '夏季薄款高腰牛仔裤绣花夏装七分裤中老年夏装女裤40岁50【DM】', '2019夏季新款胖妹mm大码女装阔太太中长款格子显瘦连衣裙【DM】【DB】', '大码女藏肉套装减龄胖妹妹显瘦两件套【DM】']",125.643
11648742,"['486', '486', '486']","['2019春季新款韩版刺绣假两件套长袖百搭锦棉大摆A字短裙【DB】h642', '改良奥黛2019新款修身气质收腰立领中长款雪纺连衣裙女【DB】', '2019春季新款韩版大码短袖气质碎花裙收腰蕾丝刺绣雪纺裙子夏【DM】']",162.0
14883478,"['558', '620', '459', '558', '459', '459', '486', '485']","['【同款2件】裹胸抹胸无缝运动瑜伽文胸日系螺纹人气内衣无钢圈LKX-4 i687', '新款时尚牛津布双肩包女百搭彩条旅行包包背包双肩包j220', '加大码女装长袖翻领雪纺衬衫中长款春秋蕾丝衫胖mm两件套镂空小衫【DM】i617', '单件文胸前扣内衣大胸小胸聚拢2019夏季无痕无钢圈调整型内衣n818', '2019秋女土中年妈妈t恤棉长袖减龄宽松洋气遮肉上衣女式体潮【DM】 p163', '【送吊带】2019早秋新款韩版镂空时尚V领蕾丝白色韩系chic打底衫', '阔太太贵夫人连衣裙高贵洋气新款夏季收腰显瘦2019流行裙子', '2019新款秋季女装修身显瘦打底衫长袖镂空蕾丝毛衣针织衫女']",85.125
15895419,"['485', '']","['2018新款韩版修身雪纺衫蝴蝶结通勤长袖上衣女', '2019春季韩版气质淑女蝴蝶结宽松长袖缎面纯色衬衫上衣女']",84.0
16607035,"['486', '552', '557', '485', '459']","['【两面可穿】2019春气质针织半身裙中长款蕾丝开叉包臀裙一步裙h801', '2019新款欧洲站时尚两件套时尚印花短袖短裤阔腿裤套装女j739', '2019欧美新款性感鱼嘴凉鞋高跟防水台粗跟时尚女鞋', '条纹短袖t恤女宽松连带帽上衣t桖女装夏装韩版百搭丅潮', '汉服改良旗袍式连衣裙2019新款夏季新式复古妈妈小个子中国风裙子【DM】bk193']",91.4
