product_id,product_alias,product_sku
14,太平鸟男装,"['[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""7"",""value"":""S""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""8"",""value"":""M""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""9"",""value"":""L""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""10"",""value"":""紫色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""11"",""value"":""红色""}]', '[{""kid"":""3"",""key"":""尺寸"",""vid"":""14"",""value"":""XL""},{""kid"":""4"",""key"":""颜色"",""vid"":""12"",""value"":""蓝色""}]']"
15,1,"['[{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""}]']"
16,W01,"['[{""kid"":""2"",""key"":""颜色"",""vid"":""15"",""value"":""白色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""}]', '[{""kid"":""2"",""key"":""颜色"",""vid"":""15"",""value"":""白色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""17"",""value"":""L""}]', '[{""kid"":""2"",""key"":""颜色"",""vid"":""15"",""value"":""白色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""18"",""value"":""XL""}]', '[{""kid"":""2"",""key"":""颜色"",""vid"":""16"",""value"":""黑色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""}]', '[{""kid"":""2"",""key"":""颜色"",""vid"":""16"",""value"":""黑色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""17"",""value"":""L""}]', '[{""kid"":""2"",""key"":""颜色"",""vid"":""16"",""value"":""黑色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""18"",""value"":""XL""}]']"
19,D497X,"['[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]']"
20,溶脂针,"['[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""}]']"
21,小麦,"['[{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""}]']"
22,C0111,"['[{""kid"":""2"",""key"":""颜色"",""vid"":""20"",""value"":""图片色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""}]', '[{""kid"":""2"",""key"":""颜色"",""vid"":""20"",""value"":""图片色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""}]', '[{""kid"":""2"",""key"":""颜色"",""vid"":""20"",""value"":""图片色""},{""kid"":""1"",""key"":""尺寸"",""vid"":""17"",""value"":""L""}]']"
26,化妆品A-1234,"['[{""kid"":""5"",""key"":""套餐"",""vid"":""22"",""value"":""套餐一""}]', '[{""kid"":""5"",""key"":""套餐"",""vid"":""23"",""value"":""套餐二""}]', '[{""kid"":""5"",""key"":""套餐"",""vid"":""24"",""value"":""套餐三""}]', '[{""kid"":""5"",""key"":""套餐"",""vid"":""25"",""value"":""一盒装""}]']"
28,er963,"['[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""1"",""value"":""S""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""2"",""value"":""M""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""4"",""value"":""红色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""5"",""value"":""蓝色""}]', '[{""kid"":""1"",""key"":""尺寸"",""vid"":""3"",""value"":""XS""},{""kid"":""2"",""key"":""颜色"",""vid"":""6"",""value"":""紫色""}]']"
37,俏俏贴,"['[{""kid"":""0"",""key"":""默认"",""vid"":""0"",""value"":""默认""}]']"
